Pretrain models save dir: ./pretrain_models_cifar10
Namespace(dataset='cifar10', data_dir='./data', imagenet_dir='', nclass=10, dseed=0, size=32, phase=-1, nclass_sub=-1, load_memory=True, net_type='convnet', norm_type='instance', depth=3, width=1.0, pretrain_epochs=60, batch_real=64, batch_size=64, lr=0.01, momentum=0.9, weight_decay=0.0005, seed=0, pretrain_amount=5, mixup='cut', beta=1.0, mix_p=0.5, rrc=True, dsa=True, dsa_strategy='color_crop_flip_scale_rotate', aug_type='color_crop_cutout', verbose=False, workers=8, ipc=-1, reproduce=True, gpu=1, bottleneck=True, data_name='cifar10', pretrain_dir='./pretrain_models_cifar10', niter=10000, nch=3, augment=False)
Start training 5 models for 60 epochs
<Pretraining  0-th model>...[Epoch 56] Train acc: 75.6 (loss: 0.864), Val acc: 86.6
<Pretraining  0-th model>...[Epoch 57] Train acc: 76.7 (loss: 0.835), Val acc: 86.3
<Pretraining  0-th model>...[Epoch 58] Train acc: 75.9 (loss: 0.856), Val acc: 86.6
<Pretraining  0-th model>...[Epoch 59] Train acc: 76.0 (loss: 0.845), Val acc: 86.7
<Pretraining  1-th model>...[Epoch  0] Train acc: 35.4 (loss: 1.860), Val acc: 56.4
<Pretraining  1-th model>...[Epoch  1] Train acc: 45.6 (loss: 1.597), Val acc: 63.2
<Pretraining  1-th model>...[Epoch  2] Train acc: 51.7 (loss: 1.450), Val acc: 69.9
<Pretraining  1-th model>...[Epoch  3] Train acc: 54.3 (loss: 1.389), Val acc: 71.7
<Pretraining  1-th model>...[Epoch  4] Train acc: 56.7 (loss: 1.325), Val acc: 73.7
<Pretraining  1-th model>...[Epoch  5] Train acc: 58.8 (loss: 1.278), Val acc: 75.2
<Pretraining  1-th model>...[Epoch  6] Train acc: 60.6 (loss: 1.237), Val acc: 75.5
<Pretraining  1-th model>...[Epoch  7] Train acc: 61.0 (loss: 1.223), Val acc: 75.2
<Pretraining  1-th model>...[Epoch  8] Train acc: 61.8 (loss: 1.189), Val acc: 75.7
<Pretraining  1-th model>...[Epoch  9] Train acc: 63.0 (loss: 1.156), Val acc: 76.7
<Pretraining  1-th model>...[Epoch 10] Train acc: 63.0 (loss: 1.177), Val acc: 76.5
<Pretraining  1-th model>...[Epoch 11] Train acc: 64.6 (loss: 1.121), Val acc: 77.8
<Pretraining  1-th model>...[Epoch 12] Train acc: 64.2 (loss: 1.132), Val acc: 79.2
<Pretraining  1-th model>...[Epoch 13] Train acc: 64.2 (loss: 1.136), Val acc: 78.8
<Pretraining  1-th model>...[Epoch 14] Train acc: 64.5 (loss: 1.133), Val acc: 79.3
<Pretraining  1-th model>...[Epoch 15] Train acc: 64.5 (loss: 1.116), Val acc: 80.0
<Pretraining  1-th model>...[Epoch 16] Train acc: 65.5 (loss: 1.104), Val acc: 79.8
<Pretraining  1-th model>...[Epoch 17] Train acc: 65.8 (loss: 1.107), Val acc: 79.3
<Pretraining  1-th model>...[Epoch 18] Train acc: 66.0 (loss: 1.108), Val acc: 80.5
<Pretraining  1-th model>...[Epoch 19] Train acc: 67.5 (loss: 1.062), Val acc: 79.4
<Pretraining  1-th model>...[Epoch 20] Train acc: 67.2 (loss: 1.072), Val acc: 80.9
<Pretraining  1-th model>...[Epoch 21] Train acc: 67.9 (loss: 1.069), Val acc: 81.3
<Pretraining  1-th model>...[Epoch 22] Train acc: 67.5 (loss: 1.056), Val acc: 80.2
<Pretraining  1-th model>...[Epoch 23] Train acc: 67.0 (loss: 1.065), Val acc: 80.2
<Pretraining  1-th model>...[Epoch 24] Train acc: 67.3 (loss: 1.062), Val acc: 79.7
<Pretraining  1-th model>...[Epoch 25] Train acc: 67.8 (loss: 1.057), Val acc: 81.4
<Pretraining  1-th model>...[Epoch 26] Train acc: 69.1 (loss: 1.017), Val acc: 82.1
<Pretraining  1-th model>...[Epoch 27] Train acc: 69.1 (loss: 1.037), Val acc: 80.9
<Pretraining  1-th model>...[Epoch 28] Train acc: 68.8 (loss: 1.031), Val acc: 80.9
<Pretraining  1-th model>...[Epoch 29] Train acc: 69.0 (loss: 1.008), Val acc: 80.6
<Pretraining  1-th model>...[Epoch 30] Train acc: 68.1 (loss: 1.041), Val acc: 81.9
<Pretraining  1-th model>...[Epoch 31] Train acc: 67.5 (loss: 1.065), Val acc: 82.0
<Pretraining  1-th model>...[Epoch 32] Train acc: 69.1 (loss: 1.014), Val acc: 82.1
<Pretraining  1-th model>...[Epoch 33] Train acc: 68.5 (loss: 1.035), Val acc: 83.0
<Pretraining  1-th model>...[Epoch 34] Train acc: 68.9 (loss: 1.046), Val acc: 81.3
<Pretraining  1-th model>...[Epoch 35] Train acc: 68.2 (loss: 1.047), Val acc: 81.1
<Pretraining  1-th model>...[Epoch 36] Train acc: 68.9 (loss: 1.020), Val acc: 82.8
<Pretraining  1-th model>...[Epoch 37] Train acc: 69.8 (loss: 1.006), Val acc: 81.3
<Pretraining  1-th model>...[Epoch 38] Train acc: 70.5 (loss: 0.980), Val acc: 81.5
<Pretraining  1-th model>...[Epoch 39] Train acc: 69.5 (loss: 1.011), Val acc: 81.7
<Pretraining  1-th model>...[Epoch 40] Train acc: 72.2 (loss: 0.946), Val acc: 84.6
<Pretraining  1-th model>...[Epoch 41] Train acc: 74.6 (loss: 0.879), Val acc: 84.8
<Pretraining  1-th model>...[Epoch 42] Train acc: 73.9 (loss: 0.898), Val acc: 85.4
<Pretraining  1-th model>...[Epoch 43] Train acc: 74.1 (loss: 0.883), Val acc: 85.1
<Pretraining  1-th model>...[Epoch 44] Train acc: 72.7 (loss: 0.925), Val acc: 84.5
<Pretraining  1-th model>...[Epoch 45] Train acc: 74.0 (loss: 0.901), Val acc: 85.5
<Pretraining  1-th model>...[Epoch 46] Train acc: 74.7 (loss: 0.869), Val acc: 85.7
<Pretraining  1-th model>...[Epoch 47] Train acc: 73.4 (loss: 0.923), Val acc: 85.4
<Pretraining  1-th model>...[Epoch 48] Train acc: 74.7 (loss: 0.880), Val acc: 85.9
<Pretraining  1-th model>...[Epoch 49] Train acc: 74.9 (loss: 0.882), Val acc: 85.7
<Pretraining  1-th model>...[Epoch 50] Train acc: 74.8 (loss: 0.881), Val acc: 86.4
<Pretraining  1-th model>...[Epoch 51] Train acc: 75.6 (loss: 0.847), Val acc: 86.2
<Pretraining  1-th model>...[Epoch 52] Train acc: 75.4 (loss: 0.856), Val acc: 86.1
<Pretraining  1-th model>...[Epoch 53] Train acc: 75.6 (loss: 0.853), Val acc: 86.2
<Pretraining  1-th model>...[Epoch 54] Train acc: 76.1 (loss: 0.844), Val acc: 86.3
<Pretraining  1-th model>...[Epoch 55] Train acc: 75.5 (loss: 0.855), Val acc: 86.3
<Pretraining  1-th model>...[Epoch 56] Train acc: 76.3 (loss: 0.827), Val acc: 86.3
<Pretraining  1-th model>...[Epoch 57] Train acc: 75.6 (loss: 0.866), Val acc: 86.3
